,serf1,serf2,serf3,serf4,serf5,serf6,serf7,serf8,serf9,serf10,serf11,serf12,serf13,serf14,serf15,serf16,serf17,serf18,serf19,serf20,serf21,serf22,serf23,serf24,serf25,serf26,serf27,serf28,serf29,serf30
serf1,0.000000,1.581000,2.653000,3.961000,5.038000,5.118000,7.515000,8.723000,9.889000,9.203000,12.306000,13.309000,14.317000,15.319000,16.231000,17.228000,18.328000,19.312000,20.222000,21.225000,14.299000,15.195000,16.200000,17.226000,18.256000,19.428000,20.236000,21.244000,22.216000,27.005000
serf2,1.289000,0.000000,3.944000,5.176000,5.117000,7.607000,8.721000,9.990000,11.115000,12.360000,13.264000,14.265000,15.261000,16.271000,17.272000,18.192000,19.258000,20.267000,21.241000,22.270000,15.140000,16.257000,17.219000,18.409000,19.207000,20.341000,21.241000,22.236000,23.244000,24.310000
serf3,2.098000,3.874000,0.000000,6.236000,6.187000,7.280000,8.297000,11.211000,12.294000,13.487000,14.306000,15.255000,16.226000,17.213000,18.469000,19.275000,20.397000,21.238000,22.288000,23.232000,16.238000,17.464000,18.388000,19.247000,20.289000,21.264000,22.303000,23.222000,24.263000,25.378000
serf4,3.826000,4.218000,6.402000,0.000000,8.684000,8.285000,9.287000,12.319000,13.467000,14.840000,15.271000,16.239000,17.275000,18.200000,19.284000,20.535000,21.350000,22.257000,23.286000,24.270000,17.264000,18.231000,19.393000,20.443000,21.237000,22.270000,23.311000,24.256000,25.266000,26.323000
serf5,5.054000,6.320000,7.605000,7.303000,0.000000,11.166000,10.275000,11.326000,12.280000,15.866000,16.260000,17.189000,18.222000,19.333000,20.304000,21.365000,22.290000,23.300000,24.261000,25.298000,18.270000,19.242000,20.242000,21.349000,22.246000,23.227000,24.237000,25.304000,26.283000,27.410000
serf6,6.303000,7.544000,8.661000,9.932000,9.185000,0.000000,13.453000,12.224000,15.927000,14.200000,17.231000,18.308000,19.351000,20.248000,21.219000,22.382000,23.387000,24.170000,25.185000,26.294000,19.210000,20.239000,21.271000,22.475000,23.283000,24.197000,25.298000,26.447000,27.258000,28.258000
serf7,7.485000,7.182000,8.304000,11.229000,12.392000,11.264000,0.000000,13.281000,17.251000,18.285000,18.197000,19.205000,20.499000,21.260000,22.316000,23.278000,24.280000,25.287000,26.270000,27.273000,20.213000,21.244000,22.168000,23.246000,24.280000,25.289000,26.270000,27.433000,28.296000,29.439000
serf8,7.300000,8.197000,11.109000,10.202000,11.284000,14.706000,13.233000,0.000000,18.335000,16.230000,19.341000,20.206000,21.442000,22.317000,23.503000,24.303000,25.417000,26.308000,27.253000,28.300000,21.400000,22.243000,23.474000,24.391000,25.362000,26.268000,27.470000,28.387000,29.299000,30.247000
serf9,8.193000,11.073000,12.396000,13.610000,14.808000,15.958000,14.276000,18.484000,0.000000,17.272000,20.244000,21.472000,22.238000,23.300000,24.276000,25.442000,26.291000,27.214000,28.270000,29.262000,22.244000,23.275000,24.256000,25.374000,26.368000,27.360000,28.264000,29.461000,30.357000,31.276000
serf10,11.101000,12.323000,11.131000,12.203000,13.239000,14.126000,15.443000,19.519000,20.691000,0.000000,21.254000,22.309000,23.305000,24.551000,25.547000,26.367000,27.283000,28.319000,29.297000,30.211000,23.221000,24.261000,25.307000,26.316000,27.345000,28.362000,29.258000,30.331000,31.406000,32.306000
serf11,12.299000,13.204000,14.255000,15.217000,16.398000,17.349000,18.309000,19.244000,20.258000,21.279000,0.000000,1.572000,2.713000,3.932000,5.033000,5.270000,6.117000,8.678000,8.254000,9.261000,16.339000,17.257000,18.428000,19.233000,20.381000,21.284000,22.265000,23.401000,24.408000,25.200000
