,serf1,serf2,serf3,serf4,serf5,serf6,serf7,serf8,serf9,serf10,serf11,serf12,serf13,serf14,serf15,serf16,serf17,serf18,serf19,serf20,serf21,serf22,serf23,serf24,serf25,serf26,serf27,serf28,serf29,serf30
serf1,0.0,1.784,2.83,3.773,4.531,5.478,7.354,9.041,10.476,12.044,12.757,13.437,14.483,15.557,16.534,17.355,18.244,20.088,20.553,21.839,14.499,15.607,16.331,17.155,18.281,19.458,20.547,21.473,22.289,23.235
serf2,1.784,0.0,4.834,5.52,6.771,7.489,9.348,10.864,12.465,14.19,14.663,15.336,16.381,17.456,18.445,19.264,20.142,21.893,22.481,23.807,16.487,17.595,18.321,19.143,20.281,21.482,22.547,23.494,24.227,25.252
serf3,2.83,4.834,0.0,6.78,7.544,8.231,9.599,11.828,13.029,14.868,15.49,16.16,17.188,18.302,19.259,20.108,20.913,22.746,23.463,24.387,17.322,18.435,19.158,19.977,21.088,22.324,23.383,24.421,25.121,25.892
serf4,3.773,5.52,6.78,0.0,8.732,9.532,11.258,12.753,14.494,16.118,16.51,17.183,18.226,19.303,20.293,21.094,22.016,23.716,24.351,25.658,18.363,19.475,20.201,21.019,22.172,23.351,24.427,25.399,26.099,27.139
serf5,4.531,6.771,7.544,8.732,0.0,10.244,11.943,13.877,15.173,16.532,17.476,18.161,19.203,20.283,21.244,22.053,22.965,24.877,25.262,26.441,19.31,20.42,21.141,21.964,23.085,24.229,25.349,26.281,27.157,27.997
serf6,5.478,7.489,8.231,9.532,10.244,0.0,12.228,13.887,14.647,17.029,18.242,18.911,19.958,21.036,22.017,22.917,23.532,25.504,25.921,27.269,20.063,21.15,21.881,22.722,23.777,25.099,26.105,26.922,27.799,28.71
serf7,7.354,9.348,9.599,11.258,11.943,12.228,0.0,12.421,13.246,14.474,19.005,19.637,20.572,21.842,22.716,23.38,24.204,25.503,27.239,26.574,20.648,21.843,22.576,23.339,24.442,25.551,26.774,28.115,28.313,28.271
serf8,9.041,10.864,11.828,12.753,13.877,13.887,12.421,0.0,13.331,14.443,20.151,20.754,21.763,22.813,23.959,24.277,25.443,25.199,26.937,29.369,21.656,22.842,23.633,24.392,25.689,26.623,27.858,28.433,28.291,30.483
serf9,10.476,12.465,13.029,14.494,15.173,14.647,13.246,13.331,0.0,15.054,21.095,21.719,22.722,23.866,24.831,26.052,24.91,27.516,27.582,29.037,22.675,23.699,24.5,25.405,25.954,28.045,28.714,28.561,29.893,30.205
serf10,12.044,14.19,14.868,16.118,16.532,17.029,14.474,14.443,15.054,0.0,22.865,23.622,24.607,25.662,26.52,26.448,28.365,29.946,28.512,29.497,24.307,25.569,26.312,27.055,28.196,28.032,30.264,30.286,32.197,32.154
serf11,12.757,14.663,15.49,16.51,17.476,18.242,19.005,20.151,21.095,22.865,0.0,2.502,3.358,4.388,5.18,6.929,8.117,11.126,11.365,12.791,17.109,18.366,19.119,19.77,20.951,22.133,23.329,24.08,24.997,25.9
serf12,13.437,15.336,16.16,17.183,18.161,18.911,19.637,20.754,21.719,23.622,2.502,0.0,4.132,5.341,6.323,7.974,8.988,11.84,12.458,13.789,18.044,19.294,20.046,20.703,21.888,23.118,24.27,25.076,25.896,26.837
serf13,14.483,16.381,17.188,18.226,19.203,19.958,20.572,21.763,22.722,24.607,3.358,4.132,0.0,6.23,6.869,8.211,9.256,11.983,12.984,13.798,18.941,20.21,20.964,21.606,22.793,24.007,25.185,26.036,26.777,27.606
serf14,15.557,17.456,18.302,19.303,20.283,21.036,21.842,22.813,23.866,25.662,4.388,5.341,6.23,0.0,8.258,9.608,10.866,13.627,13.877,15.771,20.019,21.272,22.028,22.682,23.877,25.058,26.244,26.95,27.841,28.903
serf15,16.534,18.445,19.259,20.293,21.244,22.017,22.716,23.959,24.831,26.52,5.18,6.323,6.869,8.258,0.0,10.332,11.563,14.7,14.888,15.98,20.962,22.224,22.975,23.624,24.797,25.959,27.179,27.946,28.891,29.675
serf16,17.355,19.264,20.108,21.094,22.053,22.917,23.38,24.277,26.052,26.448,6.929,7.974,8.211,9.608,10.332,0.0,12.067,12.72,13.102,14.215,21.658,23.006,23.761,24.343,25.682,26.348,27.918,28.679,29.476,30.408
serf17,18.244,20.142,20.913,22.016,22.965,23.532,24.204,25.443,24.91,28.365,8.117,8.988,9.256,10.866,11.563,12.067,0.0,13.244,13.331,14.294,22.518,23.745,24.53,25.203,26.117,27.832,28.76,29.141,30.231,30.767
serf18,20.088,21.893,22.746,23.716,24.877,25.504,25.503,25.199,27.516,29.946,11.126,11.84,11.983,13.627,14.7,12.72,13.244,0.0,14.945,15.695,24.151,25.55,26.373,26.894,28.268,29.423,30.641,31.527,30.821,32.573
serf19,20.553,22.481,23.463,24.351,25.262,25.921,27.239,26.937,27.582,28.512,11.365,12.458,12.984,13.877,14.888,13.102,13.331,14.945,0.0,16.691,24.777,26.037,26.842,27.497,28.578,29.392,30.937,30.093,32.342,34.123
serf20,21.839,23.807,24.387,25.658,26.441,27.269,26.574,29.369,29.037,29.497,12.791,13.789,13.798,15.771,15.98,14.215,14.294,15.695,16.691,0.0,25.864,27.305,28.06,28.584,29.614,30.393,32.136,33.151,34.15,32.477
serf21,14.499,16.487,17.322,18.363,19.31,20.063,20.648,21.656,22.675,24.307,17.109,18.044,18.941,20.019,20.962,21.658,22.518,24.151,24.777,25.864,0.0,2.134,3.506,3.195,4.752,6.08,6.81,8.897,8.805,10.216
serf22,15.607,17.595,18.435,19.475,20.42,21.15,21.843,22.842,23.699,25.569,18.366,19.294,20.21,21.272,22.224,23.006,23.745,25.55,26.037,27.305,2.134,0.0,4.544,4.99,6.393,8.566,8.468,10.811,11.141,12.682
serf23,16.331,18.321,19.158,20.201,21.141,21.881,22.576,23.633,24.5,26.312,19.119,20.046,20.964,22.028,22.975,23.761,24.53,26.373,26.842,28.06,3.506,4.544,0.0,6.193,7.69,9.762,9.655,12.16,12.58,13.975
serf24,17.155,19.143,19.977,21.019,21.964,22.722,23.339,24.392,25.405,27.055,19.77,20.703,21.606,22.682,23.624,24.343,25.203,26.894,27.497,28.584,3.195,4.99,6.193,0.0,8.025,9.6,9.832,12.423,12.479,13.846
serf25,18.281,20.281,21.088,22.172,23.085,23.777,24.442,25.689,25.954,28.196,20.951,21.888,22.793,23.877,24.797,25.682,26.117,28.268,28.578,29.614,4.752,6.393,7.69,8.025,0.0,10.769,11.163,12.256,13.306,13.721
serf26,19.458,21.482,22.324,23.351,24.229,25.099,25.551,26.623,28.045,28.032,22.133,23.118,24.007,25.058,25.959,26.348,27.832,29.423,29.392,30.393,6.08,8.566,9.762,9.6,10.769,0.0,12.698,12.263,13.693,13.657
serf27,20.547,22.547,23.383,24.427,25.349,26.105,26.774,27.858,28.714,30.264,23.329,24.27,25.185,26.244,27.179,27.918,28.76,30.641,30.937,32.136,6.81,8.468,9.655,9.832,11.163,12.698,0.0,15.316,16.112,17.22
serf28,21.473,23.494,24.421,25.399,26.281,26.922,28.115,28.433,28.561,30.286,24.08,25.076,26.036,26.95,27.946,28.679,29.141,31.527,30.093,33.151,8.897,10.811,12.16,12.423,12.256,12.263,15.316,0.0,14.514,16.034
serf29,22.289,24.227,25.121,26.099,27.157,27.799,28.313,28.291,29.893,32.197,24.997,25.896,26.777,27.841,28.891,29.476,30.231,30.821,32.342,34.15,8.805,11.141,12.58,12.479,13.306,13.693,16.112,14.514,0.0,15.647
serf30,23.235,25.252,25.892,27.139,27.997,28.71,28.271,30.483,30.205,32.154,25.9,26.837,27.606,28.903,29.675,30.408,30.767,32.573,34.123,32.477,10.216,12.682,13.975,13.846,13.721,13.657,17.22,16.034,15.647,0.0
